SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5972 Starwood Dr,SAN JOSE,CA,95120,2250000,4,2.5,SAN JOSE,2705,8540,1986,6,832,,Active,July-18-2021 01:00 PM,July-18-2021 04:00 PM,http://www.redfin.com/CA/San-Jose/5972-Starwood-Dr-95120/home/1535095,MLSListings,ML81852447,N,Y,37.2356033,-121.8759623
MLS Listing,,Single Family Residential,306 Kami Ct,San Ramon,CA,94582,1995000,6,4.5,Windemere,3953,16960,2010,1,505,,Active,,,http://www.redfin.com/CA/San-Ramon/306-Kami-Ct-94582/home/23118126,"bridgeMLS Bay East AOR or Contra Costa AOR",40957292,N,Y,37.7774757,-121.8942595
MLS Listing,,Single Family Residential,1893 Vetta Dr,Livermore,CA,94550,1878000,5,4.5,Livermore,3532,10270,2002,1,532,,Active,,,http://www.redfin.com/CA/Livermore/1893-Vetta-Dr-94550/home/1215099,"bridgeMLS Bay East AOR or Contra Costa AOR",40958605,N,Y,37.6561892,-121.804968
MLS Listing,,Single Family Residential,1845 Amaya Ridge Rd,SOQUEL,CA,95073,2190000,4,3.5,SOQUEL,2951,880217,2012,1,742,,Active,,,http://www.redfin.com/CA/Soquel/1845-Amaya-Ridge-Rd-95073/home/143801628,MLSListings,ML81853489,N,Y,37.080688,-121.9413138
MLS Listing,,Single Family Residential,931 New Haven Ct,CUPERTINO,CA,95014,3968000,5,3.5,CUPERTINO,3762,10282,2014,1,1055,,Active,July-17-2021 02:00 PM,July-17-2021 05:00 PM,http://www.redfin.com/CA/Cupertino/931-New-Haven-Ct-95014/home/781506,MLSListings,ML81853486,N,Y,37.3124876,-122.0533149
MLS Listing,,Single Family Residential,421 Honeysuckle Ln,San Ramon,CA,94582,1674800,4,2.0,Alta Mira,2312,8300,1993,1,724,,Active,July-18-2021 01:00 PM,July-18-2021 04:00 PM,http://www.redfin.com/CA/San-Ramon/421-Honeysuckle-Ln-94582/home/701932,"bridgeMLS Bay East AOR or Contra Costa AOR",40958106,N,Y,37.7841932,-121.9224665
MLS Listing,,Single Family Residential,651 29th St,SAN FRANCISCO,CA,94131,7000000,4,4.5,SAN FRANCISCO,6929,6597,2004,1,1010,,Active,,,http://www.redfin.com/CA/San-Francisco/651-29th-St-94131/home/69371622,MLSListings,ML81849421,N,Y,37.7430674,-122.4344663
MLS Listing,,Single Family Residential,189 Kent Rd,PACIFICA,CA,94044,4775000,6,4.5,PACIFICA,3910,9180,2003,1,1221,,Active,,,http://www.redfin.com/CA/Pacifica/189-Kent-Rd-94044/home/1086239,MLSListings,ML81845012,N,Y,37.5968062,-122.5111517
MLS Listing,,Single Family Residential,420 Conifer Ln,SANTA CRUZ,CA,95060,1398000,3,3.0,SANTA CRUZ,2777,93088,1995,1,503,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/Bonny-Doon/420-Conifer-Ln-95060/home/2379533,MLSListings,ML81852219,N,Y,37.0866385,-122.1425153
MLS Listing,,Single Family Residential,3119 Castle Canyon Way,SAN JOSE,CA,95135,2588888,5,3.0,SAN JOSE,3147,15721,1996,1,823,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/San-Jose/3119-Castle-Canyon-Way-95135/home/962184,MLSListings,ML81853322,N,Y,37.2712999,-121.7381137
MLS Listing,,Single Family Residential,1426 Ousley Dr,GILROY,CA,95020,1400000,5,3.0,GILROY,2576,24889,1988,1,543,,Active,,,http://www.redfin.com/CA/Gilroy/1426-Ousley-Dr-95020/home/1680517,MLSListings,ML81853382,N,Y,37.019287,-121.6021684
MLS Listing,,Single Family Residential,920 Cullen Ct,CAMPBELL,CA,95008,2200000,3,2.5,CAMPBELL,2556,6616,1998,1,861,,Active,July-17-2021 02:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/Campbell/920-Cullen-Ct-95008/home/802227,MLSListings,ML81851802,N,Y,37.2739187,-121.9691954
MLS Listing,,Single Family Residential,15595 La Jolla Dr,MORGAN HILL,CA,95037,1499000,5,3.0,MORGAN HILL,3212,7326,1995,1,467,,Active,,,http://www.redfin.com/CA/Morgan-Hill/15595-La-Jolla-Dr-95037/home/1111259,MLSListings,ML81852776,N,Y,37.1070158,-121.6422584
MLS Listing,,Single Family Residential,15630 Los Gatos Almaden Rd,LOS GATOS,CA,95032,2889000,4,3.0,LOS GATOS,2504,8519,2021,1,1154,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/Los-Gatos/15630-LG-Almaden-Rd-95032/home/842400,MLSListings,ML81851408,N,Y,37.2430924,-121.9427559
MLS Listing,,Single Family Residential,1408 Yorkshire Loop,Tracy,CA,95376,820000,5,3.0,Ironwood,2508,12297,1993,1,,,Active,,,http://www.redfin.com/CA/Tracy/1408-Yorkshire-Loop-95376/home/19756720,MetroList,221079028,N,Y,37.718191,-121.4410424
MLS Listing,,Single Family Residential,36944 Nichols Ave,Fremont,CA,94536,1750000,5,3.0,Niles,2414,6615,1997,1,725,,Active,July-17-2021 12:00 PM,July-17-2021 03:00 PM,http://www.redfin.com/CA/Fremont/36944-Nichols-Ave-94536/home/1266074,"bridgeMLS Bay East AOR or Contra Costa AOR",40958505,N,Y,37.5799853,-121.9842564
MLS Listing,,Single Family Residential,18640 Vista De Almaden,SAN JOSE,CA,95120,3200000,4,3.5,SAN JOSE,4618,133766,1988,1,693,,Active,July-17-2021 11:00 AM,July-17-2021 01:00 PM,http://www.redfin.com/CA/San-Jose/18640-Vista-De-Almaden-95120/home/1233800,MLSListings,ML81832669,N,Y,37.2269147,-121.847143
MLS Listing,,Single Family Residential,20545 Beggs Rd,LOS GATOS,CA,95033,3300000,5,4.5,LOS GATOS,7561,101738,2007,1,436,,Active,,,http://www.redfin.com/CA/Los-Gatos/20545-Beggs-Rd-95033/home/2121630,MLSListings,ML81853256,N,Y,37.2030956,-122.0330016
MLS Listing,,Single Family Residential,665 Ellerbrook St,Mountain House,CA,95391,1299999,4,3.0,Mountain House,3182,8045,2004,1,,,Active,,,http://www.redfin.com/CA/Mountain-House/665-Ellerbrook-St-95391/home/19723564,MetroList,221040667,N,Y,37.7700227,-121.5373125
MLS Listing,,Single Family Residential,1540 Finley Rd,Danville,CA,94588,1999000,4,3.0,Danville,2693,59111,2021,2,742,,Active,,,http://www.redfin.com/CA/Pleasanton/1540-Finley-Rd-94588/home/95952770,"bridgeMLS Bay East AOR or Contra Costa AOR",40958406,N,Y,37.8022401,-121.8606633
MLS Listing,,Single Family Residential,5741 Chambertin Dr,SAN JOSE,CA,95118,2350000,5,3.0,SAN JOSE,2565,14300,1994,2,916,,Active,,,http://www.redfin.com/CA/San-Jose/5741-Chambertin-Dr-95118/home/1552508,MLSListings,ML81853131,N,Y,37.2359862,-121.8927701
MLS Listing,,Single Family Residential,696 Bryant Ave,MOUNTAIN VIEW,CA,94040,3498000,5,4.0,MOUNTAIN VIEW,3277,9075,1992,2,1067,,Active,July-17-2021 01:30 PM,July-17-2021 04:30 PM,http://www.redfin.com/CA/Mountain-View/696-Bryant-Ave-94040/home/1670473,MLSListings,ML81853123,N,Y,37.3615158,-122.0725147
MLS Listing,,Single Family Residential,180 Little Bear Ln,BOULDER CREEK,CA,95006,975000,3,2.0,BOULDER CREEK,1901,57499,2001,2,513,,Active,July-17-2021 12:00 PM,July-17-2021 03:00 PM,http://www.redfin.com/CA/Boulder-Creek/180-Little-Bear-Ln-95006/home/2428959,MLSListings,ML81853113,N,Y,37.1293043,-122.1174046
MLS Listing,,Single Family Residential,3215 Clifford Cir,Pleasanton,CA,94588,1600000,4,3.5,Parkside,2437,8480,1985,2,657,,Active,July-16-2021 05:00 PM,July-16-2021 07:00 PM,http://www.redfin.com/CA/Pleasanton/3215-Clifford-Cir-94588/home/1693272,"bridgeMLS Bay East AOR or Contra Costa AOR",40958352,N,Y,37.6815116,-121.8960602
MLS Listing,,Single Family Residential,65 Glen Haven Rdg,SOQUEL,CA,95073,1199000,3,2.5,SOQUEL,2480,37984,1981,2,483,,Active,July-18-2021 01:00 PM,July-18-2021 04:00 PM,http://www.redfin.com/CA/Soquel/65-Glen-Haven-Rdg-95073/home/2416065,MLSListings,ML81853082,N,Y,37.0325498,-121.9358228
MLS Listing,,Single Family Residential,1216 San Mateo Dr,MENLO PARK,CA,94025,7298000,4,3.5,MENLO PARK,3770,36200,1992,2,1936,,Active,July-18-2021 01:00 PM,July-18-2021 04:00 PM,http://www.redfin.com/CA/Menlo-Park/1216-San-Mateo-Dr-94025/home/1753991,MLSListings,ML81853079,N,Y,37.4465705,-122.1914111
MLS Listing,,Single Family Residential,3735 Arlen Ct,SAN JOSE,CA,95132,2198888,4,2.5,SAN JOSE,2875,19269,1989,2,765,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/San-Jose/3735-Arlen-Ct-95132/home/1135328,MLSListings,ML81853046,N,Y,37.420949,-121.8551491
MLS Listing,,Single Family Residential,1091 Zamora Ct,MILPITAS,CA,95035,1649000,4,2.5,MILPITAS,2294,11326,1983,2,719,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/Milpitas/1091-Zamora-Ct-95035/home/808210,MLSListings,ML81850662,N,Y,37.4530563,-121.8912584
MLS Listing,,Single Family Residential,8701 Augusta Ct,Dublin,CA,94568,1375000,5,4.0,Westside,2572,34304,1981,3,535,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/Dublin/8701-Augusta-Ct-94568/home/1176304,"bridgeMLS Bay East AOR or Contra Costa AOR",40958243,N,Y,37.7202489,-121.9424003
MLS Listing,,Single Family Residential,934 Far Creek Way,REDWOOD CITY,CA,94062,4595000,5,4.5,REDWOOD CITY,4860,23824,2015,3,945,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/Emerald-Hills/934-Far-Creek-Way-94062/home/81044426,MLSListings,ML81853022,N,Y,37.4568135,-122.2603251
MLS Listing,,Single Family Residential,13925 Sheila Ave,MORGAN HILL,CA,95037,1999000,4,2.5,MORGAN HILL,3423,138208,2019,3,584,,Active,,,http://www.redfin.com/CA/Morgan-Hill/13925-Sheila-Ave-95037/home/18644471,MLSListings,ML81851356,N,Y,37.0733855,-121.6747167
MLS Listing,,Single Family Residential,2 Andorra Ct,Pacifica,CA,94044,2590000,5,4.5,Pacifica,4570,15246,1999,4,567,,Active,,,http://www.redfin.com/CA/Pacifica/2-Andorra-Ct-94044/home/1930561,San Francisco MLS,421572611,N,Y,37.5982224,-122.4832983
MLS Listing,,Single Family Residential,6619 Marymonte Ct,SAN JOSE,CA,95120,1888000,5,3.0,SAN JOSE,2450,7068,1980,4,771,,Active,July-17-2021 01:00 PM,July-17-2021 04:00 PM,http://www.redfin.com/CA/San-Jose/6619-Marymonte-Ct-95120/home/1406080,MLSListings,ML81852952,N,Y,37.217358,-121.8817653
MLS Listing,,Single Family Residential,315 Pennsylvania Ave,LOS GATOS,CA,95030,4375000,4,4.5,LOS GATOS,3725,7800,2003,4,1174,,Active,,,http://www.redfin.com/CA/Los-Gatos/315-Pennsylvania-Ave-95030/home/908626,MLSListings,ML81852941,N,Y,37.2254992,-121.9897649
